from,to,role,width
http://github.com/RGZM/amt-caa2018#TgivMhUfGQBR,http://github.com/RGZM/amt-caa2018#FWpfHrwvdZak,http://github.com/RGZM/amt-caa2018#broaderThan,0.9
http://github.com/RGZM/amt-caa2018#GZSCepVlAQSO,http://github.com/RGZM/amt-caa2018#FWpfHrwvdZak,http://github.com/RGZM/amt-caa2018#broaderThan,0.9
http://github.com/RGZM/amt-caa2018#GZSCepVlAQSO,http://github.com/RGZM/amt-caa2018#TgivMhUfGQBR,http://github.com/RGZM/amt-caa2018#broaderThan,1
http://github.com/RGZM/amt-caa2018#HlDNZnYaGrbk,http://github.com/RGZM/amt-caa2018#FWpfHrwvdZak,http://github.com/RGZM/amt-caa2018#broaderThan,0.9
http://github.com/RGZM/amt-caa2018#HlDNZnYaGrbk,http://github.com/RGZM/amt-caa2018#GZSCepVlAQSO,http://github.com/RGZM/amt-caa2018#broaderThan,1
http://github.com/RGZM/amt-caa2018#HlDNZnYaGrbk,http://github.com/RGZM/amt-caa2018#TgivMhUfGQBR,http://github.com/RGZM/amt-caa2018#broaderThan,1
http://github.com/RGZM/amt-caa2018#GIClWuhtmWRU,http://github.com/RGZM/amt-caa2018#YFGSOPjzqsQb,http://github.com/RGZM/amt-caa2018#hasDepiction,0.4
http://github.com/RGZM/amt-caa2018#YFGSOPjzqsQb,http://github.com/RGZM/amt-caa2018#FWpfHrwvdZak,http://github.com/RGZM/amt-caa2018#matchesWith,0.8
http://github.com/RGZM/amt-caa2018#GIClWuhtmWRU,http://github.com/RGZM/amt-caa2018#FWpfHrwvdZak,http://github.com/RGZM/amt-caa2018#matchesWith,0.32000000000000006
http://github.com/RGZM/amt-caa2018#TgivMhUfGQBR,http://github.com/RGZM/amt-caa2018#YFGSOPjzqsQb,http://github.com/RGZM/amt-caa2018#broaderThan,0.7200000000000001
http://github.com/RGZM/amt-caa2018#TgivMhUfGQBR,http://github.com/RGZM/amt-caa2018#GIClWuhtmWRU,http://github.com/RGZM/amt-caa2018#broaderThan,0.2880000000000001
http://github.com/RGZM/amt-caa2018#GZSCepVlAQSO,http://github.com/RGZM/amt-caa2018#YFGSOPjzqsQb,http://github.com/RGZM/amt-caa2018#broaderThan,0.7200000000000001
http://github.com/RGZM/amt-caa2018#HlDNZnYaGrbk,http://github.com/RGZM/amt-caa2018#YFGSOPjzqsQb,http://github.com/RGZM/amt-caa2018#broaderThan,0.7200000000000001
http://github.com/RGZM/amt-caa2018#GZSCepVlAQSO,http://github.com/RGZM/amt-caa2018#GIClWuhtmWRU,http://github.com/RGZM/amt-caa2018#broaderThan,0.2880000000000001
http://github.com/RGZM/amt-caa2018#HlDNZnYaGrbk,http://github.com/RGZM/amt-caa2018#GIClWuhtmWRU,http://github.com/RGZM/amt-caa2018#broaderThan,0.2880000000000001
